date,total_cases
2020-01-24,2.0
2020-01-25,3.0
2020-01-26,3.0
2020-01-27,3.0
2020-01-28,4.0
2020-01-29,5.0
2020-01-30,5.0
2020-01-31,5.0
2020-02-01,6.0
2020-02-02,6.0
2020-02-03,6.0
2020-02-04,6.0
2020-02-05,6.0
2020-02-06,6.0
2020-02-07,6.0
2020-02-08,11.0
2020-02-09,11.0
2020-02-10,11.0
2020-02-11,11.0
2020-02-12,11.0
2020-02-13,11.0
2020-02-14,11.0
2020-02-15,12.0
2020-02-16,12.0
2020-02-17,12.0
2020-02-18,12.0
2020-02-19,12.0
2020-02-20,12.0
2020-02-21,12.0
2020-02-22,12.0
2020-02-23,12.0
2020-02-24,12.0
2020-02-25,14.0
2020-02-26,18.0
2020-02-27,38.0
2020-02-28,57.0
2020-02-29,100.0
2020-03-01,130.0
2020-03-02,191.0
2020-03-03,212.0
2020-03-04,288.0
2020-03-05,426.0
2020-03-06,616.0
2020-03-07,948.0
2020-03-08,1125.0
2020-03-09,1411.0
2020-03-10,1783.0
2020-03-11,2293.0
2020-03-12,2293.0
2020-03-13,3678.0
2020-03-14,4493.0
2020-03-15,4529.0
2020-03-16,6680.0
2020-03-17,7712.0
2020-03-18,9121.0
2020-03-19,10962.0
2020-03-20,12745.0
2020-03-21,14444.0
2020-03-22,16739.0
2020-03-23,20094.0
2020-03-24,22337.0
2020-03-25,25292.0
2020-03-26,29208.0
2020-03-27,33000.0
2020-03-28,37648.0
2020-03-29,40251.0
2020-03-30,44594.0
2020-03-31,52229.0
2020-04-01,57072.0
2020-04-02,59172.0
2020-04-03,64395.0
2020-04-04,47319.0
2020-04-05,48165.0
2020-04-06,50823.0
2020-04-07,47329.0
2020-04-08,51180.0
2020-04-09,54964.0
2020-04-10,56530.0
2020-04-11,57975.0
2020-04-12,108720.0
2020-04-13,111859.0
2020-04-14,129307.0
2020-04-15,132514.0
2020-04-16,145092.0
2020-04-17,146983.0
2020-04-18,150787.0
2020-04-19,151881.0
2020-04-20,154327.0
2020-04-21,156993.0
2020-04-22,158791.0
2020-04-23,157082.0
2020-04-24,159893.0
2020-04-25,161571.0
2020-04-26,162204.0
2020-04-27,165890.0
2020-04-28,169021.0
2020-04-29,167566.0
2020-04-30,168784.0
2020-05-01,169310.0
2020-05-02,170102.0
2020-05-03,170463.0
2020-05-04,171025.0
2020-05-05,172140.0
2020-05-06,176276.0
2020-05-07,177017.0
2020-05-08,177548.0
2020-05-09,178076.0
2020-05-10,178325.0
2020-05-11,178640.0
2020-05-12,179393.0
2020-05-13,179914.0
2020-05-14,180556.0
2020-05-15,181069.0
2020-05-16,181484.0
2020-05-17,181624.0
2020-05-18,182068.0
2020-05-19,182569.0
2020-05-20,183050.0
2020-05-21,183317.0
2020-05-22,184073.0
2020-05-23,184619.0
2020-05-24,184180.0
2020-05-25,184505.0
2020-05-26,184760.0
2020-05-27,184933.0
2020-05-28,188275.0
2020-05-29,188869.0
2020-05-30,190663.0
2020-05-31,190895.0
2020-06-01,191301.0
2020-06-02,190654.0
2020-06-03,187428.0
2020-06-04,191788.0
2020-06-05,192369.0
2020-06-06,192941.0
2020-06-07,193282.0
2020-06-08,193556.0
2020-06-09,194108.0
2020-06-10,194733.0
2020-06-11,195097.0
2020-06-12,195898.0
2020-06-13,196395.0
2020-06-14,196785.0
2020-06-15,196921.0
2020-06-16,197584.0
2020-06-17,198073.0
2020-06-18,198659.0
2020-06-19,199446.0
2020-06-20,200065.0
2020-06-21,200408.0
2020-06-22,200550.0
2020-06-23,201248.0
2020-06-24,201516.0
2020-06-25,201771.0
2020-06-26,203034.0
2020-06-27,203482.0
2020-06-28,203073.0
2020-06-29,203718.0
2020-06-30,204160.0
2020-07-01,205150.0
2020-07-02,205689.0
2020-07-03,206228.0
2020-07-04,206586.0
2020-07-05,206598.0
2020-07-06,207616.0
2020-07-07,208070.0
2020-07-08,208892.0
2020-07-09,209336.0
2020-07-10,210050.0
2020-07-11,210301.0
2020-07-12,210317.0
2020-07-13,211740.0
2020-07-14,211802.0
2020-07-15,212528.0
2020-07-16,213097.0
2020-07-17,213921.0
2020-07-18,214086.0
2020-07-19,214090.0
2020-07-20,216001.0
2020-07-21,216596.0
2020-07-22,217517.0
2020-07-23,218753.0
2020-07-24,219844.0
2020-07-25,219928.0
2020-07-26,219932.0
2020-07-27,222420.0
2020-07-28,222984.0
2020-07-29,224454.0
2020-07-30,225848.0
2020-07-31,227151.0
2020-08-01,227213.0
2020-08-02,227216.0
2020-08-03,230577.0
2020-08-04,231546.0
2020-08-05,233254.0
2020-08-06,234855.0
2020-08-07,237237.0
2020-08-08,237306.0
2020-08-09,237312.0
2020-08-10,242029.0
2020-08-11,243437.0
2020-08-12,246014.0
2020-08-13,248684.0
2020-08-14,251571.0
2020-08-15,254781.0
2020-08-16,257801.0
2020-08-17,258391.0
2020-08-18,260509.0
2020-08-19,264296.0
2020-08-20,269096.0
2020-08-21,274050.0
2020-08-22,277524.0
2020-08-23,282259.0
2020-08-24,284235.0
2020-08-25,287667.0
2020-08-26,287911.0
2020-08-27,299137.0
2020-08-28,306695.0
2020-08-29,312155.0
2020-08-30,317537.0
2020-08-31,320559.0
2020-09-01,325663.0
2020-09-02,332701.0
2020-09-03,339820.0
2020-09-04,348608.0
2020-09-05,357202.0
2020-09-06,364217.0
2020-09-07,368401.0
2020-09-08,375139.0
2020-09-09,383716.0
2020-09-10,393415.0
