date,total_deaths
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,2.0
2020-02-27,2.0
2020-02-28,2.0
2020-02-29,2.0
2020-03-01,2.0
2020-03-02,3.0
2020-03-03,4.0
2020-03-04,4.0
2020-03-05,7.0
2020-03-06,9.0
2020-03-07,16.0
2020-03-08,19.0
2020-03-09,25.0
2020-03-10,33.0
2020-03-11,48.0
2020-03-12,48.0
2020-03-13,79.0
2020-03-14,91.0
2020-03-15,91.0
2020-03-16,149.0
2020-03-17,149.0
2020-03-18,149.0
2020-03-19,244.0
2020-03-20,451.0
2020-03-21,563.0
2020-03-22,676.0
2020-03-23,862.0
2020-03-24,1102.0
2020-03-25,1333.0
2020-03-26,1697.0
2020-03-27,1996.0
2020-03-28,2314.0
2020-03-29,2608.0
2020-03-30,3025.0
2020-03-31,3526.0
2020-04-01,4779.0
2020-04-02,5388.0
2020-04-03,6510.0
2020-04-04,7562.0
2020-04-05,8081.0
2020-04-06,8914.0
2020-04-07,10330.0
2020-04-08,10874.0
2020-04-09,12214.0
2020-04-10,13199.0
2020-04-11,13835.0
2020-04-12,14396.0
2020-04-13,14969.0
2020-04-14,15712.0
2020-04-15,17150.0
2020-04-16,17903.0
2020-04-17,18664.0
2020-04-18,19305.0
2020-04-19,19694.0
2020-04-20,20241.0
2020-04-21,20769.0
2020-04-22,21313.0
2020-04-23,21829.0
2020-04-24,22218.0
2020-04-25,22587.0
2020-04-26,22830.0
2020-04-27,23267.0
2020-04-28,23634.0
2020-04-29,24060.0
2020-04-30,24349.0
2020-05-01,24566.0
2020-05-02,24763.0
2020-05-03,24898.0
2020-05-04,25204.0
2020-05-05,25537.0
2020-05-06,25812.0
2020-05-07,25991.0
2020-05-08,26233.0
2020-05-09,26313.0
2020-05-10,26383.0
2020-05-11,26646.0
2020-05-12,26994.0
2020-05-13,27079.0
2020-05-14,27430.0
2020-05-15,27532.0
2020-05-16,27630.0
2020-05-17,28113.0
2020-05-18,28242.0
2020-05-19,28025.0
2020-05-20,28136.0
2020-05-21,28218.0
2020-05-22,28366.0
2020-05-23,28452.0
2020-05-24,28372.0
2020-05-25,28461.0
2020-05-26,28598.0
2020-05-27,28599.0
2020-05-28,28666.0
2020-05-29,28717.0
2020-05-30,28774.0
2020-05-31,28805.0
2020-06-01,28837.0
2020-06-02,28943.0
2020-06-03,29024.0
2020-06-04,29069.0
2020-06-05,29114.0
2020-06-06,29145.0
2020-06-07,29158.0
2020-06-08,29213.0
2020-06-09,29301.0
2020-06-10,29322.0
2020-06-11,29349.0
2020-06-12,29377.0
2020-06-13,29401.0
2020-06-14,29411.0
2020-06-15,29439.0
2020-06-16,29553.0
2020-06-17,29578.0
2020-06-18,29606.0
2020-06-19,29620.0
2020-06-20,29638.0
2020-06-21,29644.0
2020-06-22,29668.0
2020-06-23,29722.0
2020-06-24,29735.0
2020-06-25,29754.0
2020-06-26,29780.0
2020-06-27,29781.0
2020-06-28,29781.0
2020-06-29,29816.0
2020-06-30,29846.0
2020-07-01,29865.0
2020-07-02,29878.0
2020-07-03,29896.0
2020-07-04,29896.0
2020-07-05,29895.0
2020-07-06,29925.0
2020-07-07,29936.0
2020-07-08,29967.0
2020-07-09,29983.0
2020-07-10,30009.0
2020-07-11,30012.0
2020-07-12,30012.0
2020-07-13,30035.0
2020-07-14,30037.0
2020-07-15,30125.0
2020-07-16,30142.0
2020-07-17,30155.0
2020-07-18,30158.0
2020-07-19,30158.0
2020-07-20,30182.0
2020-07-21,30169.0
2020-07-22,30175.0
2020-07-23,30186.0
2020-07-24,30196.0
2020-07-25,30196.0
2020-07-26,30196.0
2020-07-27,30214.0
2020-07-28,30227.0
2020-07-29,30241.0
2020-07-30,30257.0
2020-07-31,30268.0
2020-08-01,30268.0
2020-08-02,30268.0
2020-08-03,30298.0
2020-08-04,30300.0
2020-08-05,30311.0
2020-08-06,30315.0
2020-08-07,30328.0
2020-08-08,30329.0
2020-08-09,30329.0
2020-08-10,30344.0
2020-08-11,30357.0
2020-08-12,30376.0
2020-08-13,30393.0
2020-08-14,30412.0
2020-08-15,30413.0
2020-08-16,30415.0
2020-08-17,30434.0
2020-08-18,30456.0
2020-08-19,30474.0
2020-08-20,30485.0
2020-08-21,30509.0
2020-08-22,30518.0
2020-08-23,30518.0
2020-08-24,30534.0
2020-08-25,30553.0
2020-08-26,30553.0
2020-08-27,30588.0
2020-08-28,30606.0
2020-08-29,30612.0
2020-08-30,30615.0
2020-08-31,30646.0
2020-09-01,30673.0
2020-09-02,30699.0
2020-09-03,30716.0
2020-09-04,30696.0
2020-09-05,30708.0
2020-09-06,30712.0
2020-09-07,30735.0
2020-09-08,30773.0
2020-09-09,30805.0
2020-09-10,30824.0
2020-09-11,30904.0
2020-09-12,30922.0
2020-09-13,30927.0
2020-09-14,30961.0
2020-09-15,31011.0
2020-09-16,31059.0
2020-09-17,31106.0
2020-09-18,31260.0
2020-09-19,31285.0
2020-09-20,31296.0
2020-09-21,31349.0
2020-09-22,31428.0
